Num,Graph,Mode,TestCase,Thickness,TimeElapsed,Correct,Missing,Extra,Nodes,Edges
0,triangle,way,no_simp,3,0.951833,2203,180,0,441,441
1,triangle,way,no_simp,5,0.944964,2940,330,142,440,440
2,triangle,way,no_simp,7,0.958045,4069,369,135,436,436
3,triangle,way,no_simp,9,0.977580,4923,113,403,434,434
4,triangle,way,no_simp,11,0.967155,5854,338,1,430,430
5,triangle,way,no_simp,13,1.051914,6546,515,129,428,428
6,triangle,way,no_simp,15,1.098902,7583,624,123,424,424
7,triangle,way,los_simp,3,0.973954,2044,339,305,4,4
8,triangle,way,los_simp,5,0.899509,2813,457,337,4,4
9,triangle,way,los_simp,7,0.942542,3679,759,476,4,4
10,triangle,way,los_simp,9,1.023073,4316,720,622,4,4
11,triangle,way,los_simp,11,1.000165,5070,1122,687,4,4
12,triangle,way,los_simp,13,1.185793,5825,1236,780,4,4
13,triangle,way,los_simp,15,0.989313,6488,1719,785,4,4
14,triangle,way,tri_simp,3,0.943255,2044,339,305,4,4
15,triangle,way,tri_simp,5,1.192014,2813,457,337,4,4
16,triangle,way,tri_simp,7,1.558678,3679,759,476,4,4
17,triangle,way,tri_simp,9,1.478779,4316,720,622,4,4
18,triangle,way,tri_simp,11,1.216268,5070,1122,687,4,4
19,triangle,way,tri_simp,13,1.248311,5825,1236,780,4,4
20,triangle,way,tri_simp,15,1.183060,6488,1719,785,4,4
21,triangle,graph,no_simp,3,1.110568,2203,180,0,441,441
22,triangle,graph,no_simp,5,1.119532,2940,330,142,440,440
23,triangle,graph,no_simp,7,1.593940,4069,369,135,436,436
24,triangle,graph,no_simp,9,1.201061,4923,113,403,434,434
25,triangle,graph,no_simp,11,0.955592,5854,338,1,430,430
26,triangle,graph,no_simp,13,0.977391,6546,515,129,428,428
27,triangle,graph,no_simp,15,1.128542,7583,624,123,424,424
28,triangle,graph,los_simp,3,1.105165,2044,339,305,4,4
29,triangle,graph,los_simp,5,1.182665,2813,457,337,4,4
30,triangle,graph,los_simp,7,0.974523,3679,759,476,4,4
31,triangle,graph,los_simp,9,1.131586,4316,720,622,4,4
32,triangle,graph,los_simp,11,1.043625,5070,1122,687,4,4
33,triangle,graph,los_simp,13,1.103492,5825,1236,780,4,4
34,triangle,graph,los_simp,15,0.930947,6488,1719,785,4,4
35,triangle,graph,tri_simp,3,0.967013,2044,339,305,4,4
36,triangle,graph,tri_simp,5,0.985774,2813,457,337,4,4
37,triangle,graph,tri_simp,7,1.019671,3679,759,476,4,4
38,triangle,graph,tri_simp,9,0.940347,4316,720,622,4,4
39,triangle,graph,tri_simp,11,1.022369,5070,1122,687,4,4
40,triangle,graph,tri_simp,13,1.056311,5825,1236,780,4,4
41,triangle,graph,tri_simp,15,1.050937,6488,1719,785,4,4
42,square,way,no_simp,3,1.031943,2674,314,290,593,593
43,square,way,no_simp,5,1.055836,3866,314,286,592,592
44,square,way,no_simp,7,1.088999,5053,315,282,591,591
45,square,way,no_simp,9,0.993322,6241,319,278,591,591
46,square,way,no_simp,11,1.018162,7401,343,274,591,591
47,square,way,no_simp,13,0.955000,8562,362,270,588,588
48,square,way,no_simp,15,1.029518,9742,366,266,588,588
49,square,way,los_simp,3,0.928415,2450,538,505,4,4
50,square,way,los_simp,5,0.895012,3324,856,779,4,4
51,square,way,los_simp,7,1.044704,4189,1179,1043,4,4
52,square,way,los_simp,9,1.443181,5053,1507,1297,4,4
53,square,way,los_simp,11,1.217688,5899,1845,1539,4,4
54,square,way,los_simp,13,1.745789,6740,2184,1775,4,4
55,square,way,los_simp,15,1.520427,7506,2602,2068,4,4
56,square,way,tri_simp,3,0.943082,2450,538,505,4,4
57,square,way,tri_simp,5,0.881886,3324,856,779,4,4
58,square,way,tri_simp,7,0.959389,4189,1179,1043,4,4
59,square,way,tri_simp,9,1.008042,5053,1507,1297,4,4
60,square,way,tri_simp,11,0.907137,5899,1845,1539,4,4
61,square,way,tri_simp,13,1.013096,6740,2184,1775,4,4
62,square,way,tri_simp,15,1.018388,7506,2602,2068,4,4
63,square,graph,no_simp,3,0.943429,2674,314,290,593,593
64,square,graph,no_simp,5,0.937027,3866,314,286,592,592
65,square,graph,no_simp,7,1.103460,5053,315,282,591,591
66,square,graph,no_simp,9,1.208303,6241,319,278,591,591
67,square,graph,no_simp,11,1.256758,7401,343,274,591,591
68,square,graph,no_simp,13,1.399887,8562,362,270,588,588
69,square,graph,no_simp,15,1.527012,9742,366,266,588,588
70,square,graph,los_simp,3,1.327103,2450,538,505,4,4
71,square,graph,los_simp,5,1.763343,3324,856,779,4,4
72,square,graph,los_simp,7,1.290927,4189,1179,1043,4,4
73,square,graph,los_simp,9,1.170527,5053,1507,1297,4,4
74,square,graph,los_simp,11,0.948254,5899,1845,1539,4,4
75,square,graph,los_simp,13,1.042110,6740,2184,1775,4,4
76,square,graph,los_simp,15,1.082071,7506,2602,2068,4,4
77,square,graph,tri_simp,3,0.978998,2450,538,505,4,4
78,square,graph,tri_simp,5,0.921569,3324,856,779,4,4
79,square,graph,tri_simp,7,1.031591,4189,1179,1043,4,4
80,square,graph,tri_simp,9,1.158191,5053,1507,1297,4,4
